Price,Location,Property Type,Status,Agency,Agent Name,Listing Date,Offer Date
R 1 425 000,Claremont,1 Bedroom Apartment,Normal,PE Claremont,James Mitchell,2025-09-30,
R 1 143 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Michael Anderson,2025-07-18,
R 1 495 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Russell Hughes,2025-09-29,
R 1 000 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Francis Barnes,2025-08-01,
R 3 950 000,University Estate,2 Bedroom House,Normal,PE Woodstock,Colin Ramirez,2025-05-13,2025-06-21
R 8 400 000,Newlands,4 Bedroom House,Normal,PE Newlands,Melvin Lowe,2025-04-18,
R 2 490 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Malcolm James,2025-05-23,2025-08-07
R 6 955 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Allan Santiago,2025-07-22,
R 9 000 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Randall Beck,2025-09-08,
R 7 800 000,Claremont,4 Bedroom House,Normal,PE Claremont,Derek Allen,2025-04-18,
R 4 995 000,Claremont,3 Bedroom House,Normal,PE Claremont,Chase Cox,2025-08-22,
R 50 000 000,Waterfront,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Jordan Adams,2025-06-25,
R 6 500 000,Oranjezicht,3 Bedroom Apartment,Normal,PE City Bowl,Adrian Phillips,2025-05-11,2025-08-01
R 1 950 000,Gardens,1 Bedroom Apartment,Normal,PE City Bowl,Theodore Duncan,2025-09-13,
R 1 495 000,Wynberg,2 Bedroom House,Normal,PE Southern Suburbs,Thomas Brooks,2025-10-01,
R 1 650 000,Kenilworth,3 Bedroom Apartment,Sponsored,PE Southern Suburbs,Shane Ward,2025-09-20,
R 12 950 000,Clifton,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Carson Stewart,2025-10-01,
R 29 950 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Trevor Morris,2025-07-20,
R 9 950 000,Fresnaye,4 Bedroom House,Normal,PE Atlantic Seaboard,Austin Baker,2025-05-12,
R 1 960 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Trevor Morris,2025-08-16,
R 11 995 000,Fresnaye,3 Bedroom House,Normal,PE Atlantic Seaboard,Bradley Gray,2025-08-03,
R 6 800 000,Constantia,5 Bedroom House,Normal,PE Constantia,Spencer Reed,2025-08-24,
R 6 400 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Justin Lewis,2025-05-05,
R 22 750 000,Cape Town City Centre,4 Bedroom Apartment,Sponsored,PE City Bowl,Douglas Butler,2025-05-21,2025-09-05
R 1 800 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Gilbert Carr,2025-09-18,
R 19 995 000,Cape Town City Centre,4 Bedroom Apartment,Normal,PE City Bowl,Leo Russell,2025-06-10,
R 995 000,Wynberg,2 Bedroom Apartment,Normal,PE Southern Suburbs,Eugene Long,2025-09-02,
R 11 500 000,Waterfront,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Allan Santiago,2025-05-29,
R 1 395 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Bernard Mason,2025-08-09,2025-10-07
R 1 695 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Caleb Mitchell,2025-04-21,
R 2 799 999,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ernest Porter,2025-09-06,
R 26 000 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Brian Clark,2025-08-04,
R 6 950 000,Newlands,4 Bedroom House,Normal,PE Newlands,Steven Rodriguez,2025-04-21,
R 3 400 000,Walmer Estate,4 Bedroom House,Normal,PE Woodstock,Garrett Howard,2025-07-31,
R 33 250 000,Constantia,5 Bedroom House,Sponsored,PE Constantia,Eric Johnson,2025-07-28,
R 3 395 000,Claremont,3 Bedroom House,Normal,PE Claremont,Spencer Reed,2025-09-10,
R 3 250 000,Claremont Upper,2 Bedroom Apartment,Normal,PE Claremont,Gordon Kennedy,2025-09-19,
R 8 575 000,Tokai,4 Bedroom House,Normal,PE Southern Suburbs,Travis Morgan,2025-08-08,
R 2 250 000,Woodstock,2 Bedroom Apartment,Normal,PE Woodstock,Tyler Moore,2025-07-31,
R 1 050 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Jacob Taylor,2025-08-28,
R 15 995 000,Fresnaye,6 Bedroom House,Normal,PE Atlantic Seaboard,Gabriel Green,2025-08-05,
R 1 195 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,James Mitchell,2025-05-03,2025-07-02
R 11 495 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Theodore Duncan,2025-09-02,
R 1 370 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Grant Cooper,2025-05-20,
R 3 850 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Gilbert Carr,2025-05-05,2025-06-11
R 1 250 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Michael Anderson,2025-07-10,
R 10 750 000,Sea Point,2 Bedroom Apartment,Sponsored,PE Atlantic Seaboard,Nicholas White,2025-09-18,
R 2 795 000,Tamboerskloof,2 Bedroom Apartment,Private,PE City Bowl,Gregory Diaz,2025-09-14,
R 3 500 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Garrett Howard,2025-05-08,
R 5 100 000,Foreshore,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Eugene Long,2025-09-19,
R 1 049 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Ryan Peterson,2025-04-22,2025-06-15
R 1 850 000,Woodstock,3 Bedroom Apartment,Normal,PE Woodstock,Roy Powell,2025-04-13,2025-06-25
R 2 100 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Curtis Stevens,2025-06-09,2025-08-15
R 22 999 000,Camps Bay,5 Bedroom House,Normal,PE Atlantic Seaboard,Nicholas White,2025-04-23,
R 3 250 000,Claremont,3 Bedroom House,Normal,PE Claremont,Arthur Jenkins,2025-06-13,2025-08-26
R 10 750 000,Constantia,5 Bedroom House,Normal,PE Constantia,Dale Dixon,2025-04-11,
R 6 760 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Ralph Patterson,2025-04-18,
R 1 195 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Nathan Young,2025-05-18,
R 1 300 000,Observatory,0.5 Bedroom Apartment,Normal,PE Woodstock,Connor Lopez,2025-04-25,
R 180 000 000,Fresnaye,5 Bedroom House,Normal,PE Atlantic Seaboard,Theodore Duncan,2025-08-06,
R 1 650 000,Rondebosch,2 Bedroom Apartment,Normal,PE Rondebosch,Christopher Lee,2025-08-25,
R 2 200 000,Rosebank,2 Bedroom Apartment,Normal,PE Southern Suburbs,Oscar Newman,2025-06-06,2025-08-13
R 2 200 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Francis Barnes,2025-04-18,
R 4 500 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Caleb Mitchell,2025-06-06,2025-09-11
R 2 595 000,Three Anchor Bay,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Victor Webb,2025-08-13,
R 7 995 000,Claremont Upper,5 Bedroom House,Normal,PE Claremont,Christopher Lee,2025-08-26,
R 3 850 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Shane Ward,2025-07-06,2025-08-22
R 5 295 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Dustin Peterson,2025-04-11,
R 2 600 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Seth Bell,2025-09-21,
R 2 400 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Connor Lopez,2025-09-04,
R 2 400 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Francis Barnes,2025-05-08,2025-07-17
R 3 695 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Bernard Mason,2025-05-13,2025-08-30
R 6 110 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Vincent Evans,2025-04-21,2025-08-30
R 5 995 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leon Griffin,2025-05-02,
R 995 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Raymond Watson,2025-07-13,
R 42 500 000,Clifton,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Luke Wright,2025-07-28,
R 2 250 000,Vredehoek,1 Bedroom Apartment,Normal,PE City Bowl,Gilbert Carr,2025-08-06,
R 2 995 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Malcolm James,2025-06-16,
R 1 550 000,Salt River,2 Bedroom Apartment,Normal,PE Woodstock,Kevin Harris,2025-09-18,
R 8 950 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Albert Perry,2025-09-26,
R 2 300 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Jordan Adams,2025-04-23,
R 1 437 500,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Theodore Duncan,2025-06-10,2025-09-07
R 1 795 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Lawrence Alexander,2025-07-27,
R 1 245 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Russell Hughes,2025-08-19,
R 2 140 000,De Waterkant,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Francis Barnes,2025-08-21,
R 1 745 000,Rondebosch,1 Bedroom Apartment,Normal,PE Rondebosch,Hugo Walton,2025-06-05,2025-08-24
R 3 150 000,Observatory,2 Bedroom Apartment,Normal,PE Woodstock,Ethan Hill,2025-07-08,
R 1 470 000,Rondebosch Village,2 Bedroom Apartment,Normal,PE Rondebosch,Brandon Miller,2025-09-06,
R 5 350 000,Rosebank,3 Bedroom House,Normal,PE Southern Suburbs,Cole Rogers,2025-05-31,
R 2 950 000,Rondebosch Village,2 Bedroom Apartment,Normal,PE Rondebosch,Hunter Carter,2025-05-31,
R 2 100 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Warren Hicks,2025-07-31,
R 895 000,Observatory,0.5 Bedroom Apartment,Normal,PE Woodstock,Thomas Brooks,2025-07-06,2025-09-14
R 4 600 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Walter Foster,2025-05-11,2025-08-27
R 5 295 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Clifford Flynn,2025-08-03,
R 2 050 000,Rondebosch,1 Bedroom Apartment,Normal,PE Rondebosch,Frank Ross,2025-07-18,2025-09-11
R 3 695 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Spencer Reed,2025-07-01,
R 2 495 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Derek Allen,2025-10-01,
R 2 950 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Gerald Hayes,2025-06-03,
R 1 595 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Andrew Wilson,2025-04-22,
R 21 800 000,Camps Bay,5 Bedroom House,Normal,PE Atlantic Seaboard,Chase Cox,2025-09-29,
R 2 200 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Isaac Scott,2025-06-19,
R 13 990 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Milton Stone,2025-09-06,
R 1 695 000,Newlands,1 Bedroom Apartment,Normal,PE Newlands,Julius Delgado,2025-08-05,
R 3 350 000,Observatory,3 Bedroom House,Normal,PE Woodstock,Floyd Gibson,2025-06-25,2025-08-05
R 7 085 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,William Foster,2025-08-27,
R 25 500 000,Rondebosch,5 Bedroom House,Normal,PE Rondebosch,Leroy Wade,2025-06-12,
R 2 750 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Marvin Cortez,2025-08-31,
R 1 890 000,Salt River,3 Bedroom House,Normal,PE Woodstock,Jordan Adams,2025-06-22,
R 2 195 000,Woodstock,1 Bedroom House,Normal,PE Woodstock,Gilbert Carr,2025-09-08,
R 7 600 000,Constantia,3 Bedroom House,Normal,PE Constantia,Kenneth Brooks,2025-07-18,
R 4 495 000,Walmer Estate,3 Bedroom House,Normal,PE Woodstock,Eric Johnson,2025-08-04,
R 7 999 000,Bantry Bay,3 Bedroom House,Normal,PE Atlantic Seaboard,Curtis Stevens,2025-07-05,
R 1 730 000,Woodstock,2 Bedroom House,Normal,PE Woodstock,Vernon Fuller,2025-05-04,
R 10 800 000,Constantia,4 Bedroom House,Normal,PE Constantia,Travis Morgan,2025-04-13,
R 21 950 000,Fresnaye,3 Bedroom House,Normal,PE Atlantic Seaboard,Joshua Garcia,2025-08-29,
R 2 450 000,Woodstock,3 Bedroom Apartment,Normal,PE Woodstock,Leo Russell,2025-08-16,
R 1 950 000,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Marcus King,2025-06-24,2025-09-02
R 1 825 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Malcolm James,2025-06-29,2025-08-17
R 5 895 000,Foreshore,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Samuel Bennett,2025-08-05,
R 11 500 000,Constantia,4 Bedroom House,Normal,PE Constantia,Howard Griffin,2025-05-25,2025-08-30
R 1 450 000,Rondebosch,1 Bedroom Apartment,Normal,PE Rondebosch,Marcus Torres,2025-06-24,
R 6 995 000,Claremont,4 Bedroom House,Normal,PE Claremont,Luke Wright,2025-07-21,
R 1 950 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Travis Morgan,2025-04-11,2025-06-17
R 2 895 000,Woodstock,4 Bedroom House,Normal,PE Woodstock,Russell Hughes,2025-06-04,
R 1 999 000,Observatory,1 Bedroom Apartment,Normal,PE Woodstock,Jordan Adams,2025-05-30,2025-08-08
R 23 000 000,Camps Bay,4 Bedroom House,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-08-02,
R 8 000 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,Gordon Kennedy,2025-06-30,
R 1 850 000,Wynberg,3 Bedroom House,Normal,PE Southern Suburbs,Ernest Porter,2025-04-22,2025-06-15
R 2 050 000,Rondebosch,2 Bedroom Apartment,Normal,PE Rondebosch,James Mitchell,2025-08-04,
R 1 299 000,Kenilworth,1 Bedroom Apartment,Normal,PE Southern Suburbs,Justin Lewis,2025-05-08,2025-05-28
R 14 995 000,Waterfront,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Hugo Walton,2025-06-21,
R 7 800 000,Newlands,4 Bedroom House,Normal,PE Newlands,Wesley Richardson,2025-04-13,
R 2 050 000,Walmer Estate,2 Bedroom Apartment,Normal,PE Woodstock,Thomas Brooks,2025-07-29,
R 1 450 000,Cape Town City Centre,0.5 Bedroom Apartment,Normal,PE City Bowl,Francis Barnes,2025-08-21,
R 4 150 000,Diep River,7 Bedroom House,Normal,PE Southern Suburbs,Henry Simmons,2025-05-28,
R 34 212 500,Constantia,4 Bedroom House,Normal,PE Constantia,Frank Ross,2025-06-27,
R 2 395 000,Vredehoek,1 Bedroom Apartment,Normal,PE City Bowl,Edwin Sanders,2025-09-30,
R 14 995 000,Constantia,3 Bedroom House,Normal,PE Constantia,William Foster,2025-07-17,
R 2 250 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Dale Dixon,2025-06-05,
R 3 950 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Michael Anderson,2025-04-11,
R 8 500 000,Green Point,4 Bedroom House,Normal,PE Atlantic Seaboard,Marcus Rivera,2025-06-09,2025-08-28
R 3 400 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Kyle Hall,2025-06-15,2025-08-10
R 3 395 000,Observatory,3 Bedroom Townhouse,Normal,PE Woodstock,Bernard Mason,2025-07-27,
R 10 495 000,Bantry Bay,3 Bedroom House,Normal,PE Atlantic Seaboard,Marcus Rivera,2025-08-21,
R 1 799 000,Wynberg,5 Bedroom House,Normal,PE Southern Suburbs,Evan Turner,2025-09-02,2025-10-06
R 5 995 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Roy Powell,2025-04-20,2025-07-22
R 12 500 000,Tamboerskloof,3 Bedroom House,Normal,PE City Bowl,Roy Powell,2025-05-02,
R 6 500 000,Newlands,3 Bedroom House,Normal,PE Newlands,Jerome Bryant,2025-05-19,
R 3 149 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Kevin Harris,2025-04-29,
R 8 750 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leo Russell,2025-07-29,2025-09-16
R 6 825 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Harry Flores,2025-09-29,
R 6 200 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Albert Perry,2025-09-13,
R 39 950 000,Camps Bay,5 Bedroom House,Normal,PE Atlantic Seaboard,Norman Knight,2025-09-02,
R 4 350 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,James Mitchell,2025-05-23,2025-08-12
R 24 995 000,Mouille Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Preston Murphy,2025-07-01,
R 1 995 000,Cape Town City Centre,1 Bedroom Apartment,Sponsored,PE City Bowl,Trevor Morris,2025-09-01,
R 6 150 000,Constantia,3 Bedroom Townhouse,Normal,PE Constantia,Russell Hughes,2025-07-30,
R 12 500 000,Constantia,5 Bedroom House,Normal,PE Constantia,David Thompson,2025-06-07,2025-10-08
R 5 200 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Colin Ramirez,2025-07-31,2025-09-22
R 4 999 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,Kenneth Brooks,2025-05-30,
R 7 900 000,Oranjezicht,2 Bedroom Apartment,Normal,PE City Bowl,Randall Beck,2025-07-17,
R 2 500 000,Claremont,3 Bedroom Apartment,Normal,PE Claremont,Edgar Hart,2025-05-07,
R 1 125 000,Woodstock,1 Bedroom Apartment,Normal,PE Woodstock,Austin Baker,2025-07-31,
R 3 750 000,Bantry Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Cameron Nelson,2025-05-17,
R 6 000 000,Mowbray,4 Bedroom House,Normal,PE Southern Suburbs,Francis Barnes,2025-08-22,
R 1 350 000,Mouille Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Edwin Sanders,2025-04-26,
R 2 700 000,Sea Point,Apartment,Normal,PE Atlantic Seaboard,Arthur Jenkins,2025-04-28,2025-08-09
R 2 395 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Ian Campbell,2025-08-13,
R 6 595 000,Green Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Marcus King,2025-06-19,
R 1 650 000,Woodstock,2 Bedroom House,Normal,PE Woodstock,Oscar Newman,2025-09-13,
R 1 895 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Cameron Nelson,2025-04-29,2025-05-21
R 2 995 000,Vredehoek,1.5 Bedroom Apartment,Normal,PE City Bowl,Grant Cooper,2025-09-29,
R 2 295 000,Gardens,1 Bedroom Apartment,Normal,PE City Bowl,Gilbert Carr,2025-07-24,
R 6 300 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Michael Anderson,2025-09-28,
R 14 995 000,Mouille Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Julius Delgado,2025-05-25,
R 2 850 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Seth Bell,2025-07-01,
R 1 795 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Ryan Peterson,2025-06-11,2025-07-08
R 73 950 000,Camps Bay,6 Bedroom House,Normal,PE Atlantic Seaboard,Kenneth Brooks,2025-05-11,
R 1 925 000,Mowbray,1 Bedroom Apartment,Normal,PE Southern Suburbs,Grant Cooper,2025-08-09,2025-08-27
R 2 150 000,Oranjezicht,2 Bedroom Apartment,Normal,PE City Bowl,Claude Chapman,2025-08-02,
R 1 195 000,Claremont,2 Bedroom Apartment,Normal,PE Claremont,William Foster,2025-07-31,
R 5 000 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Harold Fisher,2025-07-30,
R 2 300 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Harold Fisher,2025-08-24,
R 490 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Julius Delgado,2025-07-22,
R 1 750 000,Newlands,1 Bedroom Apartment,Normal,PE Newlands,Garrett Howard,2025-09-13,
R 1 850 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Kevin Harris,2025-07-24,
R 3 259 999,Salt River,2 Bedroom Apartment,Normal,PE Woodstock,Hugo Walton,2025-08-30,
R 2 950 000,Oranjezicht,2 Bedroom Apartment,Normal,PE City Bowl,Spencer Reed,2025-09-21,
R 2 595 000,Woodstock,4 Bedroom House,Normal,PE Woodstock,Kyle Hall,2025-08-30,
R 2 195 000,Sea Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Philip Washington,2025-04-22,
R 2 395 000,Green Point,1 Bedroom Apartment,Private,PE Atlantic Seaboard,Bernard Mason,2025-04-12,
R 450 000,Wynberg,1 Bedroom Apartment,Normal,PE Southern Suburbs,Leo Russell,2025-09-18,
R 3 495 000,Claremont Upper,1 Bedroom Apartment,Normal,PE Claremont,Tyler Moore,2025-07-04,2025-08-21
R 2 702 500,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Gerald Hayes,2025-09-22,
R 3 650 000,Woodstock,2 Bedroom House,Normal,PE Woodstock,Eugene Long,2025-09-14,
R 3 095 000,Claremont Upper,3 Bedroom Apartment,Normal,PE Claremont,Preston Murphy,2025-08-31,
R 1 050 000,Diep River,1 Bedroom Apartment,Normal,PE Southern Suburbs,Craig Hunt,2025-07-13,2025-08-28
R 2 990 000,Foreshore,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Adrian Phillips,2025-08-14,
R 1 995 000,Claremont,2 Bedroom House,Normal,PE Claremont,Raymond Watson,2025-07-09,2025-10-05
R 3 695 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Allan Santiago,2025-09-03,
R 19 995 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-07-04,
R 3 095 000,De Waterkant,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Adrian Phillips,2025-05-13,2025-06-23
R 1 749 000,Wynberg,2 Bedroom House,Normal,PE Southern Suburbs,Seth Bell,2025-06-22,2025-07-22
R 2 750 000,Woodstock,2 Bedroom Townhouse,Normal,PE Woodstock,Leonard Hughes,2025-08-26,
R 2 400 000,Green Point,1 Bedroom Apartment,Normal,PE Atlantic Seaboard,Walter Foster,2025-09-03,
R 44 000 000,Sea Point,5 Bedroom House,Normal,PE Atlantic Seaboard,Isaac Scott,2025-08-19,
R 3 599 000,Claremont,3 Bedroom House,Normal,PE Claremont,Philip Washington,2025-08-04,2025-09-15
R 3 500 000,Green Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Frederick Price,2025-05-16,2025-07-09
R 1 695 000,Green Point,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Preston Murphy,2025-07-15,
R 2 200 000,Cape Town City Centre,1 Bedroom Apartment,Normal,PE City Bowl,Malcolm James,2025-06-29,
R 4 300 000,Sea Point,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Leonard Hughes,2025-07-23,
R 2 900 000,Kenilworth,3 Bedroom House,Normal,PE Southern Suburbs,Jared Bailey,2025-07-17,2025-09-23
R 1 895 000,Bergvliet,2 Bedroom Apartment,Normal,PE Southern Suburbs,Melvin Lowe,2025-07-17,
R 5 950 000,Tamboerskloof,3 Bedroom House,Normal,PE City Bowl,Adrian Phillips,2025-06-12,
R 4 750 000,Green Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Stanley Wells,2025-08-04,
R 5 600 000,Rondebosch,3 Bedroom House,Normal,PE Rondebosch,Martin Hayes,2025-08-05,
R 1 295 000,Kenilworth,2 Bedroom Apartment,Normal,PE Southern Suburbs,Philip Washington,2025-06-11,
R 4 850 000,Clifton,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Allan Santiago,2025-09-26,
R 2 750 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Isaac Scott,2025-06-25,
R 1 850 000,Rondebosch,2 Bedroom Apartment,Normal,PE Rondebosch,Leroy Wade,2025-07-29,2025-09-17
R 3 295 000,Kenilworth,3 Bedroom House,Normal,PE Southern Suburbs,Maurice West,2025-06-08,2025-09-08
R 4 995 000,Three Anchor Bay,3 Bedroom Apartment,Normal,PE Atlantic Seaboard,Preston Murphy,2025-04-27,
R 6 950 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Henry Simmons,2025-08-11,
R 4 300 000,Sea Point,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,William Foster,2025-08-04,
R 775 000,Claremont,0.5 Bedroom Apartment,Normal,PE Claremont,Ethan Hill,2025-04-11,
R 1 575 000,Mowbray,1 Bedroom Apartment,Sponsored,PE Southern Suburbs,David Thompson,2025-08-16,2025-09-01
R 5 300 000,Rondebosch,4 Bedroom House,Normal,PE Rondebosch,Andrew Wilson,2025-05-31,
R 2 550 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Chase Cox,2025-06-11,
R 1 380 000,Claremont,2 Bedroom Apartment,Normal,PE Claremont,Kevin Harris,2025-08-29,
R 3 850 000,Vredehoek,2 Bedroom Apartment,Normal,PE City Bowl,Roy Powell,2025-09-07,
R 4 700 000,Tamboerskloof,2 Bedroom House,Normal,PE City Bowl,Kevin Harris,2025-08-27,
R 3 999 000,Gardens,2 Bedroom Apartment,Normal,PE City Bowl,Allan Santiago,2025-07-08,
R 15 995 000,Mouille Point,4 Bedroom Apartment,Normal,PE Atlantic Seaboard,Lawrence Alexander,2025-07-05,
R 6 995 000,De Waterkant,2 Bedroom Apartment,Normal,PE Atlantic Seaboard,Martin Hayes,2025-07-09,
R 2 495 000,Rondebosch,3 Bedroom Apartment,Normal,PE Rondebosch,Frank Ross,2025-07-29,2025-09-26
R 3 850 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Cameron Nelson,2025-07-10,
R 1 595 000,Foreshore,0.5 Bedroom Apartment,Sponsored,PE Atlantic Seaboard,Thomas Brooks,2025-08-22,
R 1 295 000,Claremont,1 Bedroom Apartment,Normal,PE Claremont,Marcus Rivera,2025-05-21,
R 2 999 000,Tamboerskloof,3 Bedroom Apartment,Normal,PE City Bowl,Gerald Hayes,2025-09-18,
R 1 900 000,Claremont,2 Bedroom Apartment,Normal,PE Claremont,Russell Hughes,2025-06-20,2025-09-18
R 2 795 000,Cape Town City Centre,2 Bedroom Apartment,Normal,PE City Bowl,Rodney Shaw,2025-09-02,
R 65 000 000,Constantia,7 Bedroom House,Normal,PE Constantia,Owen Collins,2025-07-22,
R 2 587 500,Foreshore,0.5 Bedroom Apartment,Normal,PE Atlantic Seaboard,Hugo Walton,2025-09-12,
R 6 500 000,Claremont,3 Bedroom Townhouse,Normal,PE Claremont,Eugene Long,2025-07-29,
